FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12	Area 13	Area 14	Area 15	Area 16	Area 17	Area 18	Area 19	Area 20
Size [pixels]	1162	653	453	1193	636	1956	857	1728	1185	884	863	742	750	564	993	236	510	452	543	858
Size [mm2]	853.52	479.64	332.74	876.29	467.16	1436.73	629.49	1269.25	870.41	649.32	633.89	545.02	550.89	414.27	729.38	173.35	374.61	332.00	398.85	630.22
Fo	86.64	99.10	80.01	91.86	82.30	129.41	103.40	105.22	111.40	106.33	103.90	113.06	93.85	122.46	146.44	101.83	110.43	84.54	111.42	111.04
Fm	461.48	470.91	568.84	626.50	585.12	524.13	559.38	712.25	511.38	695.04	680.34	532.27	664.76	526.17	471.03	461.24	473.28	619.31	495.53	536.96
Fv	374.84	371.81	488.83	534.64	502.82	394.72	455.99	607.03	399.98	588.71	576.45	419.22	570.92	403.72	324.59	359.41	362.85	534.77	384.11	425.91
Fp	436.73	429.45	510.61	603.87	543.98	486.23	518.44	687.14	470.09	646.18	637.93	472.46	622.33	470.25	426.85	411.46	423.25	564.81	446.37	490.85
Fm_L1	234.68	243.44	382.31	409.90	372.61	277.70	302.32	480.60	252.98	447.34	453.81	264.57	429.30	262.77	251.45	224.60	223.97	402.22	252.48	249.16
Fm_L2	203.24	211.70	305.28	317.32	296.32	246.22	257.27	370.78	224.98	349.66	357.82	228.87	343.90	241.33	236.31	201.31	203.46	312.71	227.81	228.12
Fm_L3	194.53	197.56	271.44	290.25	270.59	236.33	236.96	338.68	217.65	325.58	326.56	218.93	314.68	231.91	228.76	191.52	199.05	284.52	215.96	218.59
Fm_L4	185.38	194.82	255.59	278.88	250.04	231.27	232.99	324.22	211.73	310.41	312.46	216.71	295.60	229.03	224.83	190.45	190.04	265.84	212.31	216.62
Fm_L5	181.21	192.82	247.64	265.83	240.64	226.85	223.93	310.28	206.57	299.93	299.58	208.27	284.52	223.18	221.79	180.27	188.57	250.92	206.36	211.32
Fm_L6	182.08	188.79	234.69	250.23	233.17	222.64	218.13	295.54	202.57	291.00	290.53	202.15	272.08	221.04	216.01	181.93	186.22	241.08	204.35	202.47
Fm_L7	176.47	184.97	215.93	242.22	222.57	218.72	214.05	280.84	198.21	274.68	272.90	204.35	258.82	215.40	213.57	181.52	181.41	226.79	201.83	205.11
Fm_L8	176.55	184.98	205.54	227.17	212.89	218.27	212.33	265.81	198.68	262.28	261.99	197.55	243.15	213.73	212.42	175.13	181.66	213.80	199.82	200.29
Fm_L9	174.93	178.43	192.52	210.22	198.78	215.18	204.12	249.34	198.52	245.94	244.53	193.08	231.67	205.41	207.46	175.26	178.13	197.55	196.72	200.00
Fm_L10	170.88	181.51	186.69	204.97	192.85	215.09	200.58	241.24	191.19	233.53	231.91	191.76	219.17	206.67	208.48	173.96	177.39	188.12	195.33	197.99
Fm_L11	167.73	179.78	179.79	196.38	187.13	214.61	198.12	231.14	192.65	229.38	220.88	190.79	211.07	203.02	206.20	169.85	175.75	184.36	192.12	195.17
Fm_L12	167.89	178.88	173.58	190.66	180.22	210.82	197.16	222.01	190.44	225.41	217.43	188.68	205.06	198.53	206.95	164.98	172.16	179.48	190.24	192.29
Fm_L13	169.91	176.62	165.34	187.81	177.85	211.51	192.54	220.62	194.33	218.63	208.10	186.54	204.56	199.34	202.61	173.06	173.01	174.66	184.94	193.51
Fm_L14	165.34	175.91	164.73	184.62	175.95	208.20	191.33	217.30	190.88	213.61	203.56	188.56	195.10	193.84	202.46	167.17	170.27	167.12	188.69	189.71
Fm_Lss	167.05	176.58	166.06	178.78	173.93	208.95	190.43	210.85	190.73	208.36	199.83	187.08	194.32	197.96	201.93	166.25	171.09	163.01	188.83	190.96
Fm_D1	207.20	232.10	204.56	222.52	215.59	254.21	248.27	264.41	236.01	260.92	249.45	239.38	250.75	239.23	236.61	209.56	209.24	209.30	229.58	237.99
Fm_D2	241.57	261.39	235.96	269.79	259.75	288.04	288.12	319.09	276.09	312.08	290.86	281.16	310.10	270.14	264.87	248.77	257.38	264.21	270.17	278.57
Fm_D3	294.88	313.42	298.50	336.79	328.52	341.70	351.36	403.60	332.80	390.01	367.39	339.65	380.01	325.81	311.69	302.43	314.76	334.07	328.34	339.02
Fm_D4	350.73	358.73	371.09	416.95	395.56	399.03	415.01	487.97	388.80	475.82	451.49	397.24	443.93	390.65	363.19	349.13	372.07	398.24	374.36	411.04
Ft_L1	220.47	227.37	369.44	398.60	362.11	255.01	286.07	464.35	236.47	429.73	436.83	249.52	420.11	248.03	237.64	207.04	210.87	389.48	237.94	237.14
Ft_L2	184.92	192.87	276.35	292.25	270.17	224.78	233.84	344.41	208.20	325.10	334.11	213.02	318.60	224.42	218.55	182.71	186.78	294.76	209.18	210.37
Ft_L3	172.46	179.48	247.72	265.59	247.10	213.04	216.88	314.71	199.31	298.49	304.05	199.31	291.79	214.30	210.08	175.69	179.78	262.09	197.07	200.92
Ft_L4	166.14	168.03	231.33	249.27	228.49	202.68	206.34	291.92	190.29	278.81	286.65	192.35	271.02	207.49	203.63	170.03	170.66	239.45	189.90	192.92
Ft_L5	160.55	165.32	218.63	235.38	218.99	198.27	199.59	277.32	184.78	267.85	273.10	183.62	255.84	200.93	199.91	163.17	167.64	226.35	185.28	187.20
Ft_L6	158.20	160.19	206.62	225.45	208.43	192.92	192.19	264.99	180.21	255.83	260.37	180.73	245.70	197.70	193.34	160.86	165.25	215.35	179.04	184.19
Ft_L7	153.76	155.61	190.78	211.39	196.40	189.46	185.73	247.76	174.50	242.70	244.50	175.06	229.57	190.35	188.23	155.41	163.73	202.22	175.23	176.92
Ft_L8	147.51	152.31	181.25	200.02	183.37	184.64	182.61	232.18	167.65	227.77	230.33	169.74	216.36	186.14	185.60	152.03	156.99	187.67	172.04	173.73
Ft_L9	144.78	148.23	165.31	185.90	170.37	181.02	174.81	215.96	165.04	211.75	211.55	164.30	201.52	179.66	182.27	148.19	154.19	174.77	168.51	168.11
Ft_L10	143.21	148.15	163.15	175.49	163.51	180.06	171.65	205.68	162.23	202.18	202.86	161.73	192.91	176.71	179.94	148.07	150.42	164.48	165.48	166.18
Ft_L11	139.80	147.73	154.62	170.95	158.24	180.24	169.33	199.61	160.24	195.58	196.28	160.45	183.57	176.29	179.53	141.77	148.28	161.37	164.78	163.59
Ft_L12	137.33	146.06	150.34	165.47	154.30	177.22	162.64	193.80	157.87	191.06	188.19	160.02	177.67	173.81	176.48	142.07	146.94	156.65	161.50	162.57
Ft_L13	138.07	145.06	146.73	161.96	151.29	174.98	163.72	189.22	158.31	184.13	185.04	160.66	174.34	169.85	178.59	139.32	147.74	150.36	161.51	161.47
Ft_L14	135.76	143.39	142.05	156.82	144.77	172.22	160.37	184.05	155.09	179.40	176.46	156.50	166.39	167.20	174.07	138.87	143.30	144.62	157.99	159.46
Ft_Lss	134.16	141.06	138.00	154.01	142.52	171.83	159.10	178.14	155.44	176.06	173.67	153.96	162.75	165.37	172.99	138.71	143.45	141.37	156.04	156.95
Ft_D1	72.55	83.70	72.38	80.64	71.28	106.71	89.01	92.46	92.54	94.37	90.80	90.92	84.86	99.34	114.06	81.92	87.53	69.74	92.67	87.88
Ft_D2	73.32	83.81	70.79	79.98	71.90	106.02	86.83	92.55	92.31	94.15	89.18	92.87	83.71	96.55	116.00	82.05	88.69	70.81	92.96	88.33
Ft_D3	78.24	88.36	76.82	85.02	75.52	114.11	92.28	98.55	98.95	100.08	95.60	99.99	87.33	106.77	128.76	89.24	96.91	75.42	100.68	96.31
Ft_D4	78.00	92.63	81.09	88.08	77.22	121.56	97.49	101.37	100.26	102.21	95.66	107.40	81.70	109.81	133.61	90.70	104.40	75.65	105.50	104.56
Fo_L1	73.33	82.82	74.87	85.25	76.19	106.15	89.35	98.23	91.13	98.02	96.54	93.06	87.10	99.29	115.17	82.62	87.66	78.74	91.60	89.63
Fo_L2	69.95	78.80	71.34	80.38	72.38	101.20	84.96	92.62	87.22	92.37	91.33	88.22	82.92	96.07	111.89	79.24	84.33	74.56	88.13	86.76
