FluorCam7 Numeric Avg Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12	Area 13	Area 14	Area 15	Area 16	Area 17	Area 18	Area 19	Area 20
Size [pixels]	579	289	1300	603	1367	1714	770	1453	457	1262	1350	1094	1402	735	792	843	253	360	332	946
Size [mm2]	425.29	212.28	954.88	442.92	1004.09	1258.97	565.58	1067.26	335.68	926.97	991.61	803.57	1029.80	539.87	581.74	619.20	185.83	264.43	243.86	694.86
Fo	61.82	61.69	66.57	68.17	67.84	88.29	89.79	80.14	64.25	81.51	95.79	90.07	81.34	89.71	86.98	84.26	63.86	62.36	75.35	74.97
Fm	388.77	340.75	468.93	438.61	422.05	482.12	465.97	529.47	347.69	551.04	607.41	491.79	539.89	503.55	450.04	463.03	311.87	456.30	402.28	458.15
Fv	326.95	279.06	402.36	370.43	354.21	393.83	376.18	449.33	283.44	469.54	511.61	401.72	458.55	413.84	363.06	378.77	248.01	393.94	326.93	383.18
Fp	379.37	323.48	452.76	433.45	414.76	456.96	453.03	523.84	324.46	530.66	598.26	469.59	539.67	474.15	423.12	435.54	294.99	433.15	371.64	433.16
Fm_L1	204.55	165.47	312.00	288.55	290.05	242.80	257.13	355.06	187.45	362.53	402.67	242.32	364.75	249.84	234.20	222.35	164.47	312.53	194.01	212.15
Fm_L2	170.37	147.24	250.61	234.81	236.43	215.35	217.58	288.31	158.05	294.48	332.27	216.45	298.70	215.90	210.83	195.92	145.30	249.08	177.88	191.41
Fm_L3	161.73	146.11	237.29	217.90	221.69	204.52	206.80	267.84	154.10	279.22	308.49	206.10	281.12	206.74	197.91	185.35	135.20	235.19	166.09	178.22
Fm_L4	159.50	142.13	231.39	212.90	213.92	199.94	199.48	264.73	151.21	273.28	295.86	202.30	272.10	200.90	190.27	180.76	135.51	228.36	164.22	175.68
Fm_L5	151.21	140.80	223.88	207.57	209.20	197.77	192.16	259.66	148.76	270.74	287.80	200.51	269.34	198.82	188.53	181.51	133.10	224.07	162.12	176.19
Fm_L6	153.51	139.09	218.09	208.36	204.60	193.28	193.60	251.63	151.40	260.57	279.31	198.28	260.83	191.24	187.65	178.46	134.07	220.38	161.13	172.78
Fm_L7	149.35	137.08	211.20	191.95	197.37	188.87	187.68	235.77	144.96	246.68	269.60	189.75	249.59	192.42	185.25	174.69	130.17	208.74	159.65	168.51
Fm_L8	143.92	132.57	200.64	183.42	186.79	186.07	179.80	226.76	141.38	240.18	254.97	187.54	238.52	187.37	175.92	172.11	124.66	202.85	157.63	168.82
Fm_L9	142.53	126.88	187.09	173.40	180.39	182.16	178.72	218.47	136.18	223.32	240.19	182.57	225.04	180.49	175.91	165.44	129.50	183.95	146.75	163.06
Fm_L10	137.27	123.14	177.21	164.52	170.59	175.82	175.98	204.04	132.76	206.99	228.35	178.07	210.93	176.11	174.23	162.94	126.39	169.73	144.67	156.33
Fm_L11	137.51	122.26	170.98	157.32	165.46	173.09	173.34	193.22	128.69	200.46	219.45	174.31	201.51	172.86	171.34	159.64	124.27	159.37	141.43	155.21
Fm_L12	136.17	119.85	161.20	153.75	162.23	168.63	168.13	191.25	130.63	193.55	209.36	172.33	197.54	168.11	168.76	157.45	127.53	152.29	143.44	154.03
Fm_L13	133.38	121.68	158.38	150.48	158.98	167.98	165.87	185.18	127.47	186.80	204.11	171.42	190.19	166.79	163.59	157.29	125.71	144.82	135.14	151.96
Fm_L14	133.12	115.48	149.50	142.40	154.22	164.26	162.30	177.02	127.29	182.08	197.13	162.76	184.91	162.66	161.43	155.00	121.23	145.23	134.78	149.32
Fm_Lss	128.20	112.83	148.49	145.07	148.65	162.11	159.28	176.42	124.87	175.97	190.51	161.97	177.84	159.31	157.32	153.02	120.36	138.75	132.65	145.24
Fm_D1	160.02	141.44	191.09	169.24	190.54	197.90	201.03	222.25	160.95	225.95	247.30	199.69	230.17	192.30	198.05	185.66	143.29	176.27	169.56	176.72
Fm_D2	190.44	160.78	226.00	202.81	220.94	231.85	230.71	264.16	191.82	265.48	289.18	241.95	275.62	222.83	230.62	222.75	164.19	206.72	203.91	208.15
Fm_D3	235.51	204.91	278.21	253.91	258.30	290.16	277.64	318.36	225.78	325.89	353.18	295.50	333.77	281.78	276.28	276.36	201.25	256.54	245.98	263.14
Fm_D4	271.75	239.96	322.28	299.82	288.01	340.67	328.45	371.49	258.57	373.83	410.20	350.29	381.76	341.15	317.33	328.85	231.02	300.23	291.80	321.04
Ft_L1	194.67	159.25	301.28	276.89	276.44	230.99	243.75	341.82	174.39	351.37	384.15	232.66	352.25	236.46	219.76	211.10	151.34	307.15	182.11	198.51
Ft_L2	158.97	141.38	234.79	214.52	220.79	198.47	200.53	265.65	149.91	278.68	309.99	202.12	278.25	205.34	192.91	183.39	133.63	233.88	163.64	178.33
Ft_L3	148.46	134.93	219.21	203.29	203.89	187.91	186.93	249.55	143.34	258.13	287.02	191.05	259.19	191.62	182.47	174.10	126.46	217.89	156.25	169.65
Ft_L4	144.27	129.77	211.91	197.12	195.52	181.93	180.23	243.49	136.73	249.55	274.62	186.87	250.53	184.87	176.95	171.09	124.06	209.68	152.87	166.45
Ft_L5	140.19	128.97	206.85	189.54	188.48	178.06	176.03	235.60	136.46	243.94	264.80	180.01	245.16	181.43	171.96	164.97	122.48	204.34	146.69	159.54
Ft_L6	138.36	127.45	201.09	182.86	181.52	174.40	171.00	227.36	131.87	237.40	254.16	176.78	235.78	179.10	168.58	163.28	121.09	200.40	144.40	156.70
Ft_L7	133.20	122.06	189.18	172.84	175.02	168.58	168.27	214.90	129.95	223.04	241.59	170.28	222.58	173.21	166.25	157.57	115.89	188.96	141.64	152.11
Ft_L8	128.66	120.74	182.83	166.48	168.99	166.54	163.80	206.46	126.82	213.56	232.17	167.36	213.83	169.06	161.75	153.71	117.07	177.96	138.08	148.23
Ft_L9	121.57	114.42	170.07	155.82	158.44	159.78	158.65	193.22	122.32	195.63	217.37	163.34	198.17	161.80	157.29	149.39	112.46	161.09	133.28	146.08
Ft_L10	120.24	111.64	159.84	147.42	152.34	156.43	152.95	181.97	116.26	184.44	202.92	160.04	186.43	157.87	153.75	145.53	110.71	148.65	129.51	141.15
Ft_L11	119.27	113.21	153.88	138.90	146.71	155.02	152.21	173.49	116.15	177.46	194.45	155.24	180.15	153.59	150.49	143.58	111.91	143.67	130.31	137.21
Ft_L12	115.94	107.99	145.27	134.49	141.47	150.32	146.67	164.44	112.43	169.39	183.60	150.64	172.58	149.41	146.96	140.21	107.39	134.92	123.22	135.09
Ft_L13	111.07	102.94	141.03	133.21	135.18	146.04	146.58	160.89	110.54	162.19	178.98	148.26	162.33	144.71	145.55	138.12	105.99	126.28	123.00	133.99
Ft_L14	115.49	100.71	136.17	125.61	134.68	144.31	140.68	155.90	112.81	158.64	172.40	143.65	162.68	143.34	141.82	134.96	105.57	124.26	118.82	128.62
Ft_Lss	110.52	101.39	131.64	123.75	129.10	142.18	139.54	152.23	106.92	154.42	168.37	143.35	154.82	140.21	139.55	133.49	104.45	120.55	119.54	127.96
Ft_D1	55.58	55.39	66.37	64.66	69.86	77.78	81.34	80.22	62.88	78.99	92.81	79.87	82.98	75.81	76.86	70.39	59.41	57.41	67.50	63.73
Ft_D2	56.10	54.35	64.86	64.07	68.13	77.28	80.64	78.07	64.42	77.25	90.32	79.81	81.67	76.10	77.22	69.92	62.45	56.76	67.18	62.10
Ft_D3	58.51	58.01	67.95	67.37	68.99	81.83	84.90	82.07	65.61	80.18	94.93	84.46	85.89	82.55	82.20	75.18	65.19	60.52	72.04	68.87
Ft_D4	58.48	62.17	68.28	69.21	67.32	81.22	87.09	84.54	65.17	80.70	96.48	88.46	81.95	85.07	84.25	78.30	64.27	59.29	74.82	71.41
Fo_L1	54.08	51.76	62.13	63.08	63.22	74.79	77.64	74.60	55.48	75.68	88.68	75.78	75.85	75.97	73.83	70.39	53.96	58.67	62.74	63.01
Fo_L2	51.35	49.83	59.24	60.07	60.24	71.96	73.60	71.14	52.59	72.20	84.73	73.05	72.51	72.50	71.33	67.51	51.72	55.99	60.95	61.05
Fo_L3	50.54	49.70	58.46	58.90	59.24	70.71	72.33	69.82	52.14	71.25	83.10	71.83	71.43	71.44	69.79	66.21	50.38	55.26	59.50	59.64
Fo_L4	50.32	49.24	58.10	58.53	58.67	70.16	71.41	69.61	51.81	70.85	82.15	71.37	70.83	70.73	68.82	65.61	50.42	54.87	59.26	59.35
Fo_L5	49.46	49.07	57.61	58.12	58.31	69.89	70.45	69.25	51.52	70.68	81.52	71.14	70.64	70.47	68.59	65.71	50.08	54.62	58.98	59.41
Fo_L6	49.71	48.86	57.22	58.18	57.94	69.32	70.64	68.67	51.83	69.97	80.82	70.86	70.05	69.49	68.47	65.31	50.22	54.40	58.85	59.02
Fo_L7	49.26	48.61	56.74	56.83	57.35	68.74	69.84	67.43	51.05	68.93	79.99	69.74	69.21	69.65	68.15	64.80	49.66	53.66	58.65	58.51
Fo_L8	48.66	48.03	55.95	56.05	56.42	68.37	68.72	66.67	50.60	68.41	78.65	69.44	68.33	68.97	66.85	64.44	48.84	53.26	58.38	58.55
Fo_L9	48.50	47.27	54.84	55.08	55.82	67.83	68.56	65.93	49.92	66.97	77.18	68.75	67.18	68.02	66.84	63.48	49.57	51.87	56.82	57.84
