FluorCam7 Numeric Avg Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12	Area 13	Area 14	Area 15	Area 16	Area 17	Area 18	Area 19	Area 20
Fo_L10	47.87	46.74	53.96	54.15	54.85	66.93	68.15	64.56	49.45	65.42	75.92	68.10	65.86	67.39	66.60	63.11	49.10	50.67	56.50	56.97
Fo_L11	47.90	46.61	53.37	53.35	54.31	66.53	67.75	63.43	48.88	64.75	74.91	67.54	64.91	66.91	66.17	62.61	48.78	49.70	56.00	56.82
Fo_L12	47.74	46.26	52.37	52.93	53.95	65.86	66.94	63.22	49.15	64.02	73.70	67.24	64.50	66.18	65.78	62.27	49.27	48.99	56.32	56.66
Fo_L13	47.39	46.53	52.07	52.54	53.59	65.77	66.58	62.54	48.70	63.26	73.04	67.10	63.69	65.98	64.99	62.24	49.00	48.19	54.99	56.38
Fo_L14	47.36	45.59	51.07	51.52	53.04	65.19	66.00	61.58	48.67	62.71	72.12	65.73	63.09	65.32	64.64	61.88	48.31	48.24	54.93	56.01
Fo_Lss	46.72	45.17	50.96	51.86	52.36	64.85	65.49	61.51	48.32	61.97	71.22	65.60	62.24	64.77	63.97	61.56	48.17	47.50	54.57	55.43
Fo_D1	50.37	49.15	55.18	54.65	56.76	69.90	71.61	66.27	52.90	67.20	77.90	71.04	67.63	69.63	69.81	66.25	51.46	51.24	59.94	59.47
Fo_D2	53.04	51.30	57.75	57.74	59.18	73.72	75.05	69.57	55.86	70.32	81.63	75.75	71.07	73.27	73.47	70.44	53.93	53.53	63.74	62.66
Fo_D3	56.02	55.08	60.66	61.25	61.57	78.75	79.41	72.83	58.42	73.95	86.03	80.30	74.41	78.68	77.55	75.04	57.40	56.36	67.34	66.86
Fo_D4	57.86	57.33	62.53	63.60	63.12	82.05	83.09	75.29	60.40	76.16	89.04	83.86	76.56	82.70	80.47	78.44	59.59	58.22	70.36	70.07
Fv_L1	150.48	113.71	249.87	225.47	226.83	168.01	179.48	280.46	131.97	286.85	313.98	166.54	288.91	173.87	160.37	151.95	110.51	253.86	131.27	149.14
Fv_L2	119.02	97.40	191.37	174.74	176.19	143.39	143.98	217.17	105.47	222.28	247.54	143.40	226.19	143.40	139.49	128.41	93.58	193.08	116.93	130.36
Fv_L3	111.19	96.41	178.83	159.00	162.46	133.81	134.47	198.02	101.96	207.97	225.40	134.27	209.69	135.30	128.12	119.14	84.82	179.93	106.59	118.58
Fv_L4	109.18	92.90	173.29	154.37	155.25	129.78	128.07	195.13	99.40	202.43	213.71	130.93	201.27	130.17	121.45	115.14	85.09	173.48	104.96	116.32
Fv_L5	101.75	91.73	166.27	149.45	150.89	127.88	121.71	190.41	97.25	200.06	206.28	129.37	198.69	128.36	119.94	115.79	83.02	169.45	103.13	116.78
Fv_L6	103.80	90.22	160.86	150.18	146.66	123.96	122.96	182.96	99.57	190.60	198.49	127.42	190.79	121.74	119.18	113.15	83.85	165.98	102.28	113.76
Fv_L7	100.09	88.46	154.46	135.13	140.02	120.13	117.84	168.34	93.91	177.75	189.61	120.01	180.38	122.77	117.10	109.90	80.51	155.08	100.99	110.00
Fv_L8	95.26	84.53	144.70	127.36	130.37	117.70	111.08	160.09	90.78	171.77	176.32	118.10	170.19	118.40	109.07	107.67	75.82	149.59	99.25	110.27
Fv_L9	94.04	79.62	132.25	118.32	124.56	114.33	110.16	152.53	86.26	156.35	163.01	113.83	157.86	112.47	109.07	101.96	79.93	132.09	89.93	105.21
Fv_L10	89.40	76.40	123.25	110.37	115.74	108.89	107.83	139.49	83.31	141.57	152.43	109.97	145.07	108.72	107.63	99.83	77.29	119.06	88.17	99.36
Fv_L11	89.61	75.65	117.61	103.97	111.15	106.55	105.59	129.79	79.82	135.70	144.54	106.77	136.60	105.96	105.17	97.03	75.49	109.66	85.42	98.39
Fv_L12	88.43	73.60	108.83	100.82	108.28	102.77	101.19	128.03	81.47	129.54	135.66	105.09	133.04	101.93	102.97	95.18	78.25	103.29	87.13	97.37
Fv_L13	85.99	75.15	106.31	97.94	105.39	102.22	99.29	122.64	78.77	123.54	131.08	104.32	126.50	100.81	98.61	95.05	76.71	96.63	80.15	95.58
Fv_L14	85.76	69.89	98.42	90.88	101.18	99.08	96.30	115.43	78.62	119.37	125.01	97.03	121.82	97.34	96.79	93.12	72.93	96.99	79.85	93.31
Fv_Lss	81.48	67.66	97.54	93.21	96.29	97.26	93.79	114.91	76.56	114.00	119.29	96.36	115.59	94.54	93.35	91.46	72.19	91.24	78.08	89.81
Fv_D1	109.65	92.28	135.92	114.58	133.79	127.99	129.43	155.97	108.04	158.74	169.40	128.65	162.55	122.67	128.24	119.41	91.83	125.03	109.62	117.25
Fv_D2	137.40	109.48	168.24	145.07	161.76	158.14	155.66	194.59	135.96	195.16	207.55	166.21	204.55	149.56	157.15	152.32	110.26	153.19	140.17	145.49
Fv_D3	179.49	149.83	217.55	192.66	196.73	211.41	198.23	245.53	167.36	251.94	267.15	215.20	259.36	203.10	198.73	201.32	143.86	200.18	178.64	196.28
Fv_D4	213.89	182.63	259.75	236.22	224.89	258.62	245.36	296.19	198.17	297.67	321.16	266.42	305.20	258.46	236.86	250.41	171.43	242.00	221.44	250.97
Fq_L1	9.88	6.23	10.72	11.66	13.60	11.81	13.38	13.24	13.05	11.16	18.52	9.67	12.50	13.38	14.44	11.24	13.13	5.38	11.90	13.63
Fq_L2	11.40	5.86	15.82	20.29	15.65	16.89	17.05	22.66	8.14	15.81	22.28	14.34	20.45	10.56	17.92	12.52	11.67	15.20	14.24	13.08
Fq_L3	13.27	11.18	18.08	14.61	17.80	16.61	19.87	18.29	10.75	21.09	21.47	15.06	21.93	15.12	15.44	11.25	8.74	17.31	9.84	8.57
Fq_L4	15.23	12.37	19.48	15.78	18.40	18.01	19.25	21.24	14.47	23.73	21.24	15.43	21.57	16.03	13.32	9.67	11.45	18.67	11.34	9.23
Fq_L5	11.02	11.83	17.03	18.03	20.72	19.71	16.13	24.07	12.30	26.80	23.00	20.50	24.18	17.40	16.56	16.54	10.62	19.74	15.43	16.65
Fq_L6	15.15	11.64	16.99	25.50	23.08	18.88	22.60	24.27	19.52	23.17	25.15	21.51	25.05	12.13	19.07	15.19	12.98	19.98	16.73	16.08
Fq_L7	16.15	15.02	22.02	19.11	22.35	20.29	19.40	20.86	15.01	23.64	28.01	19.46	27.01	19.21	18.99	17.12	14.28	19.78	18.01	16.40
Fq_L8	15.26	11.83	17.82	16.93	17.80	19.53	16.00	20.31	14.56	26.62	22.80	20.18	24.69	18.31	14.17	18.40	7.59	24.89	19.55	20.58
Fq_L9	20.96	12.46	17.02	17.58	21.95	22.39	20.07	25.25	13.85	27.68	22.82	19.23	26.87	18.69	18.63	16.05	17.04	22.86	13.48	16.98
Fq_L10	17.03	11.50	17.37	17.11	18.25	19.39	23.02	22.07	16.50	22.55	25.43	18.03	24.50	18.23	20.48	17.40	15.68	21.08	15.16	15.18
Fq_L11	18.25	9.05	17.10	18.42	18.75	18.07	21.13	19.74	12.54	23.00	24.99	19.07	21.36	19.27	20.85	16.06	12.36	15.69	11.12	18.00
Fq_L12	20.23	11.86	15.93	19.26	20.76	18.31	21.46	26.81	18.20	24.17	25.76	21.69	24.96	18.70	21.80	17.24	20.13	17.37	20.22	18.95
Fq_L13	22.31	18.74	17.35	17.26	23.79	21.94	19.30	24.29	16.93	24.61	25.13	23.16	27.86	22.08	18.04	19.17	19.72	18.54	12.14	17.97
Fq_L14	17.63	14.77	13.33	16.78	19.54	19.95	21.62	21.11	14.48	23.43	24.73	19.11	22.22	19.32	19.61	20.04	15.66	20.97	15.96	20.70
Fq_Lss	17.68	11.43	16.86	21.32	19.55	19.93	19.74	24.20	17.96	21.55	22.14	18.62	23.01	19.10	17.77	19.54	15.90	18.19	13.11	17.28
Fq_D1	104.44	86.04	124.72	104.58	120.68	120.12	119.70	142.03	98.07	146.96	154.49	119.82	147.19	116.50	121.18	115.27	83.88	118.86	102.06	112.99
Fq_D2	134.34	106.43	161.13	138.74	152.81	154.57	150.07	186.09	127.40	188.23	198.86	162.14	193.94	146.73	153.40	152.83	101.74	149.96	136.73	146.05
Fq_D3	177.00	146.90	210.25	186.54	189.30	208.32	192.74	236.29	160.17	245.71	258.25	211.04	247.88	199.23	194.08	201.18	136.06	196.02	173.94	194.27
Fq_D4	213.27	177.79	254.00	230.61	220.69	259.45	241.36	286.94	193.40	293.13	313.72	261.82	299.80	256.08	233.08	250.55	166.74	240.93	216.99	249.64
QY_max	0.84	0.82	0.86	0.84	0.84	0.82	0.81	0.85	0.82	0.85	0.84	0.82	0.85	0.82	0.81	0.82	0.80	0.86	0.81	0.84
Fv/Fm_L1	0.74	0.69	0.80	0.78	0.78	0.69	0.70	0.79	0.70	0.79	0.78	0.69	0.79	0.70	0.68	0.68	0.67	0.81	0.68	0.70
Fv/Fm_L2	0.70	0.66	0.76	0.74	0.75	0.67	0.66	0.75	0.67	0.75	0.74	0.66	0.76	0.66	0.66	0.66	0.64	0.78	0.66	0.68
Fv/Fm_L3	0.69	0.66	0.75	0.73	0.73	0.65	0.65	0.74	0.66	0.74	0.73	0.65	0.75	0.65	0.65	0.64	0.63	0.77	0.64	0.67
Fv/Fm_L4	0.68	0.65	0.75	0.73	0.73	0.65	0.64	0.74	0.66	0.74	0.72	0.65	0.74	0.65	0.64	0.64	0.63	0.76	0.64	0.66
Fv/Fm_L5	0.67	0.65	0.74	0.72	0.72	0.65	0.63	0.73	0.65	0.74	0.72	0.65	0.74	0.65	0.64	0.64	0.62	0.76	0.64	0.66
Fv/Fm_L6	0.68	0.65	0.74	0.72	0.72	0.64	0.64	0.73	0.66	0.73	0.71	0.64	0.73	0.64	0.64	0.63	0.63	0.75	0.63	0.66
Fv/Fm_L7	0.67	0.65	0.73	0.70	0.71	0.64	0.63	0.71	0.65	0.72	0.70	0.63	0.72	0.64	0.63	0.63	0.62	0.74	0.63	0.65
Fv/Fm_L8	0.66	0.64	0.72	0.69	0.70	0.63	0.62	0.71	0.64	0.72	0.69	0.63	0.71	0.63	0.62	0.63	0.61	0.74	0.63	0.65
Fv/Fm_L9	0.66	0.63	0.71	0.68	0.69	0.63	0.62	0.70	0.63	0.70	0.68	0.62	0.70	0.62	0.62	0.62	0.62	0.72	0.61	0.65
Fv/Fm_L10	0.65	0.62	0.70	0.67	0.68	0.62	0.61	0.68	0.63	0.68	0.67	0.62	0.69	0.62	0.62	0.61	0.61	0.70	0.61	0.64
Fv/Fm_L11	0.65	0.62	0.69	0.66	0.67	0.62	0.61	0.67	0.62	0.68	0.66	0.61	0.68	0.61	0.61	0.61	0.61	0.69	0.60	0.63
Fv/Fm_L12	0.65	0.61	0.68	0.66	0.67	0.61	0.60	0.67	0.62	0.67	0.65	0.61	0.67	0.61	0.61	0.60	0.61	0.68	0.61	0.63
Fv/Fm_L13	0.64	0.62	0.67	0.65	0.66	0.61	0.60	0.66	0.62	0.66	0.64	0.61	0.67	0.60	0.60	0.60	0.61	0.67	0.59	0.63
Fv/Fm_L14	0.64	0.61	0.66	0.64	0.66	0.60	0.59	0.65	0.62	0.66	0.63	0.60	0.66	0.60	0.60	0.60	0.60	0.67	0.59	0.62
Fv/Fm_Lss	0.64	0.60	0.66	0.64	0.65	0.60	0.59	0.65	0.61	0.65	0.63	0.59	0.65	0.59	0.59	0.60	0.60	0.66	0.59	0.62
Fv/Fm_D1	0.69	0.65	0.71	0.68	0.70	0.65	0.64	0.70	0.67	0.70	0.68	0.64	0.71	0.64	0.65	0.64	0.64	0.71	0.65	0.66
Fv/Fm_D2	0.72	0.68	0.74	0.72	0.73	0.68	0.67	0.74	0.71	0.74	0.72	0.69	0.74	0.67	0.68	0.68	0.67	0.74	0.69	0.70
Fv/Fm_D3	0.76	0.73	0.78	0.76	0.76	0.73	0.71	0.77	0.74	0.77	0.76	0.73	0.78	0.72	0.72	0.73	0.71	0.78	0.73	0.75
Fv/Fm_D4	0.79	0.76	0.81	0.79	0.78	0.76	0.75	0.80	0.77	0.80	0.78	0.76	0.80	0.76	0.75	0.76	0.74	0.81	0.76	0.78
QY_L1	0.05	0.04	0.03	0.04	0.05	0.05	0.05	0.04	0.07	0.03	0.05	0.04	0.03	0.05	0.06	0.05	0.08	0.02	0.06	0.06
QY_L2	0.07	0.04	0.06	0.09	0.07	0.08	0.08	0.08	0.05	0.05	0.07	0.07	0.07	0.05	0.09	0.06	0.08	0.06	0.08	0.07
QY_L3	0.08	0.08	0.08	0.07	0.08	0.08	0.10	0.07	0.07	0.08	0.07	0.07	0.08	0.07	0.08	0.06	0.06	0.07	0.06	0.05
QY_L4	0.10	0.09	0.08	0.07	0.09	0.09	0.10	0.08	0.10	0.09	0.07	0.08	0.08	0.08	0.07	0.05	0.08	0.08	0.07	0.05
QY_L5	0.07	0.08	0.08	0.09	0.10	0.10	0.08	0.09	0.08	0.10	0.08	0.10	0.09	0.09	0.09	0.09	0.08	0.09	0.10	0.09
QY_L6	0.10	0.08	0.08	0.12	0.11	0.10	0.12	0.10	0.13	0.09	0.09	0.11	0.10	0.06	0.10	0.09	0.10	0.09	0.10	0.09
QY_L7	0.11	0.11	0.10	0.10	0.11	0.11	0.10	0.09	0.10	0.10	0.10	0.10	0.11	0.10	0.10	0.10	0.11	0.09	0.11	0.10
QY_L8	0.11	0.09	0.09	0.09	0.10	0.10	0.09	0.09	0.10	0.11	0.09	0.11	0.10	0.10	0.08	0.11	0.06	0.12	0.12	0.12
QY_L9	0.15	0.10	0.09	0.10	0.12	0.12	0.11	0.12	0.10	0.12	0.10	0.11	0.12	0.10	0.11	0.10	0.13	0.12	0.09	0.10
QY_L10	0.12	0.09	0.10	0.10	0.11	0.11	0.13	0.11	0.12	0.11	0.11	0.10	0.12	0.10	0.12	0.11	0.12	0.12	0.10	0.10
QY_L11	0.13	0.07	0.10	0.12	0.11	0.10	0.12	0.10	0.10	0.11	0.11	0.11	0.11	0.11	0.12	0.10	0.10	0.10	0.08	0.12
QY_L12	0.15	0.10	0.10	0.13	0.13	0.11	0.13	0.14	0.14	0.12	0.12	0.13	0.13	0.11	0.13	0.11	0.16	0.11	0.14	0.12
QY_L13	0.17	0.15	0.11	0.11	0.15	0.13	0.12	0.13	0.13	0.13	0.12	0.14	0.15	0.13	0.11	0.12	0.16	0.13	0.09	0.12
QY_L14	0.13	0.13	0.09	0.12	0.13	0.12	0.13	0.12	0.11	0.13	0.13	0.12	0.12	0.12	0.12	0.13	0.13	0.14	0.12	0.14
QY_Lss	0.14	0.10	0.11	0.15	0.13	0.12	0.12	0.14	0.14	0.12	0.12	0.11	0.13	0.12	0.11	0.13	0.13	0.13	0.10	0.12
QY_D1	0.65	0.61	0.65	0.62	0.63	0.61	0.60	0.64	0.61	0.65	0.62	0.60	0.64	0.61	0.61	0.62	0.59	0.67	0.60	0.64
QY_D2	0.71	0.66	0.71	0.68	0.69	0.67	0.65	0.70	0.66	0.71	0.69	0.67	0.70	0.66	0.67	0.69	0.62	0.73	0.67	0.70
QY_D3	0.75	0.72	0.76	0.73	0.73	0.72	0.69	0.74	0.71	0.75	0.73	0.71	0.74	0.71	0.70	0.73	0.68	0.76	0.71	0.74
QY_D4	0.78	0.74	0.79	0.77	0.77	0.76	0.73	0.77	0.75	0.78	0.76	0.75	0.79	0.75	0.73	0.76	0.72	0.80	0.74	0.78
NPQ_L1	0.90	1.06	0.50	0.52	0.46	0.99	0.81	0.49	0.85	0.52	0.51	1.03	0.48	1.02	0.92	1.08	0.90	0.46	1.07	1.16
NPQ_L2	1.28	1.31	0.87	0.87	0.79	1.24	1.14	0.84	1.20	0.87	0.83	1.27	0.81	1.33	1.13	1.36	1.15	0.83	1.26	1.39
NPQ_L3	1.40	1.33	0.98	1.01	0.90	1.36	1.25	0.98	1.26	0.97	0.97	1.39	0.92	1.44	1.27	1.50	1.31	0.94	1.42	1.57
NPQ_L4	1.44	1.40	1.03	1.06	0.97	1.41	1.34	1.00	1.30	1.02	1.05	1.43	0.98	1.51	1.37	1.56	1.30	1.00	1.45	1.61
NPQ_L5	1.57	1.42	1.09	1.11	1.02	1.44	1.42	1.04	1.34	1.04	1.11	1.45	1.00	1.53	1.39	1.55	1.34	1.04	1.48	1.60
NPQ_L6	1.53	1.45	1.15	1.11	1.06	1.49	1.41	1.10	1.30	1.11	1.17	1.48	1.07	1.63	1.40	1.59	1.33	1.07	1.50	1.65
NPQ_L7	1.60	1.49	1.22	1.28	1.14	1.55	1.48	1.25	1.40	1.23	1.25	1.59	1.16	1.62	1.43	1.65	1.40	1.19	1.52	1.72
NPQ_L8	1.70	1.57	1.34	1.39	1.26	1.59	1.59	1.33	1.46	1.29	1.38	1.62	1.26	1.69	1.56	1.69	1.50	1.25	1.55	1.71
NPQ_L9	1.73	1.69	1.51	1.53	1.34	1.65	1.61	1.42	1.55	1.47	1.53	1.69	1.40	1.79	1.56	1.80	1.41	1.48	1.74	1.81
NPQ_L10	1.83	1.77	1.65	1.67	1.47	1.74	1.65	1.59	1.62	1.66	1.66	1.76	1.56	1.86	1.58	1.84	1.47	1.69	1.78	1.93
NPQ_L11	1.83	1.79	1.74	1.79	1.55	1.79	1.69	1.74	1.70	1.75	1.77	1.82	1.68	1.91	1.63	1.90	1.51	1.86	1.84	1.95
NPQ_L12	1.86	1.84	1.91	1.85	1.60	1.86	1.77	1.77	1.66	1.85	1.90	1.85	1.73	2.00	1.67	1.94	1.45	2.00	1.80	1.97
NPQ_L13	1.91	1.80	1.96	1.91	1.65	1.87	1.81	1.86	1.73	1.95	1.98	1.87	1.84	2.02	1.75	1.94	1.48	2.15	1.98	2.01
NPQ_L14	1.92	1.95	2.14	2.08	1.74	1.94	1.87	1.99	1.73	2.03	2.08	2.02	1.92	2.10	1.79	1.99	1.57	2.14	1.98	2.07
NPQ_Lss	2.03	2.02	2.16	2.02	1.84	1.97	1.93	2.00	1.78	2.13	2.19	2.04	2.04	2.16	1.86	2.03	1.59	2.29	2.03	2.15
NPQ_D1	1.43	1.41	1.45	1.59	1.21	1.44	1.32	1.38	1.16	1.44	1.46	1.46	1.35	1.62	1.27	1.49	1.18	1.59	1.37	1.59
NPQ_D2	1.04	1.12	1.07	1.16	0.91	1.08	1.02	1.00	0.81	1.08	1.10	1.03	0.96	1.26	0.95	1.08	0.90	1.21	0.97	1.20
