FluorCam7 Numeric Avg Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12	Area 13	Area 14	Area 15	Area 16	Area 17	Area 18	Area 19	Area 20
Size [pixels]	1220	818	2449	1369	2292	886	1887	1940	907	2434	1824	2025	1203	1326	1836	2786	878	2538	1870	2039
Size [mm2]	896.12	600.84	1798.85	1005.56	1683.53	650.79	1386.04	1424.97	666.21	1787.83	1339.77	1487.41	883.63	973.98	1348.58	2046.38	644.91	1864.22	1373.56	1497.69
Fo	60.83	70.80	75.62	69.36	66.33	80.91	91.54	72.60	78.76	88.11	83.15	80.92	65.76	92.02	82.84	88.97	61.05	87.75	85.78	86.37
Fm	322.07	360.61	511.98	483.55	473.60	373.43	458.97	497.58	388.24	585.54	503.21	407.85	469.69	421.82	423.81	461.43	287.63	546.32	453.69	421.66
Fv	261.24	289.81	436.36	414.19	407.27	292.52	367.43	424.98	309.48	497.43	420.06	326.92	403.93	329.81	340.97	372.45	226.58	458.57	367.91	335.29
Fp	319.87	354.10	519.02	487.18	478.97	365.02	448.26	496.32	374.73	580.05	500.34	396.51	464.11	409.16	412.62	453.10	281.84	552.98	443.07	402.42
Fm_L1	173.35	190.87	346.39	347.42	346.56	232.83	240.50	337.92	205.47	427.87	351.13	216.45	337.17	227.94	224.11	232.83	166.64	384.58	229.40	207.52
Fm_L2	147.90	165.44	273.09	263.04	265.69	200.17	207.85	261.80	180.64	329.37	270.99	189.44	248.33	197.08	189.85	202.43	143.87	291.67	198.69	182.82
Fm_L3	138.54	154.88	253.47	239.32	242.78	188.57	199.71	242.12	171.47	299.59	254.38	180.18	225.86	184.56	181.74	193.82	132.93	267.49	191.30	175.66
Fm_L4	138.37	151.09	238.98	222.55	228.88	181.04	191.18	230.61	167.52	281.32	237.53	176.93	212.72	180.41	172.02	186.54	131.26	253.32	181.65	172.35
